kommune;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Hele landet;387;340;297;291;306;297;274;284;327;443;536;615;646;735
Region Hovedstaden;97;108;84;82;66;76;77;74;84;137;158;142;165;204
København;25;39;29;29;26;39;25;37;36;50;61;66;52;73
Frederiksberg;3;1;2;0;1;2;5;3;3;6;6;4;9;18
Dragør;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Tårnby;1;0;0;1;1;0;2;2;2;3;1;4;3;5
Albertslund;4;8;7;3;3;1;0;0;1;3;2;1;2;8
Ballerup;2;5;1;1;1;4;7;2;2;3;6;2;8;12
Brøndby;0;7;3;3;1;1;0;1;1;1;33;5;4;5
Gentofte;3;5;0;2;2;2;3;1;1;2;1;2;5;5
Gladsaxe;6;1;4;1;1;3;0;1;3;2;1;5;6;6
Glostrup;1;0;1;0;1;1;4;1;2;2;1;0;7;5
Herlev;3;1;1;3;0;0;2;1;3;4;4;1;5;2
Hvidovre;2;2;4;4;2;2;1;2;1;8;6;2;4;10
Høje-Taastrup;2;1;2;5;1;1;6;1;4;6;5;3;5;13
Ishøj;4;1;1;1;1;3;1;3;0;5;1;1;4;4
Lyngby-Taarbæk;1;2;0;0;0;0;1;2;8;1;3;2;7;6
Rødovre;5;6;3;2;1;2;0;0;2;3;1;3;4;4
Vallensbæk;1;1;2;0;0;0;0;0;1;1;0;0;3;1
Allerød;2;1;2;0;2;1;2;1;0;2;1;0;2;0
Egedal;1;1;0;0;2;0;0;2;1;1;2;2;0;4
Fredensborg;2;0;4;0;0;0;0;1;0;4;0;6;3;0
Frederikssund;4;10;5;3;6;0;1;4;2;2;1;6;5;7
Furesø;0;1;0;1;0;1;0;1;0;2;1;2;1;3
Gribskov;3;3;2;1;3;0;2;2;1;8;4;3;4;2
Halsnæs;4;2;2;2;3;3;4;0;1;2;7;1;4;5
Helsingør;9;4;2;5;4;4;3;3;2;4;1;8;2;0
Hillerød;4;2;3;12;2;2;4;2;4;6;3;6;1;1
Hørsholm;1;1;0;0;0;1;2;0;0;1;0;1;2;2
Rudersdal;2;0;2;1;1;0;0;0;0;2;1;2;2;1
Bornholm;2;3;2;2;1;2;2;1;3;3;5;4;11;2
Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;52;52;45;54;60;40;41;52;57;62;101;136;97;107
Greve;2;4;4;5;2;0;1;2;4;2;2;3;3;8
Køge;3;5;1;2;0;2;1;5;4;5;3;7;4;2
Lejre;1;0;1;2;0;1;1;1;0;2;1;2;1;0
Roskilde;4;4;4;3;3;3;6;4;7;3;17;10;12;7
Solrød;0;2;0;1;4;0;1;1;0;1;0;2;1;0
Faxe;1;4;2;1;0;0;1;4;0;1;4;7;3;4
Guldborgsund;8;7;7;2;6;3;1;8;1;7;10;14;9;17
Holbæk;2;2;4;7;7;8;3;2;5;4;14;7;5;6
Kalundborg;3;0;6;7;2;2;5;5;1;1;6;5;7;5
Lolland;3;4;2;6;2;6;6;4;4;5;3;18;13;10
Næstved;6;6;3;4;4;5;3;3;6;9;12;20;9;12
Odsherred;3;3;2;3;11;3;1;2;1;1;10;2;1;10
Ringsted;1;1;1;2;6;3;1;1;2;3;2;1;4;1
Slagelse;6;5;3;5;7;3;6;4;5;13;7;15;13;11
Sorø;3;1;2;0;1;0;0;3;12;0;3;5;5;3
Stevns;1;1;1;3;2;0;0;1;0;1;2;13;2;1
Vordingborg;5;3;2;1;3;1;4;2;5;4;5;5;5;10
Region Syddanmark;96;68;80;67;84;77;66;62;80;108;128;140;175;182
Assens;5;2;1;2;5;0;5;1;1;0;2;7;7;2
Faaborg-Midtfyn;1;0;2;1;1;4;2;1;3;1;10;2;10;10
Kerteminde;1;2;3;1;0;1;0;1;0;0;1;2;2;0
Langeland;0;0;0;3;0;0;0;0;0;3;0;0;2;0
Middelfart;0;0;0;3;5;3;0;1;2;4;2;5;3;3
Nordfyns;2;3;2;1;0;1;1;1;2;0;1;3;0;1
Nyborg;4;2;3;1;3;1;1;1;8;1;4;2;4;1
Odense;27;10;14;19;21;13;14;14;16;22;15;21;23;27
Svendborg;5;4;5;1;6;4;6;2;4;5;12;8;6;7
Ærø;0;1;0;1;0;0;0;0;0;0;1;1;0;0
Billund;0;2;0;1;1;0;0;1;0;4;0;1;2;7
Esbjerg;11;11;10;8;7;11;9;12;8;6;15;19;18;20
Fanø;0;0;0;0;1;0;0;0;0;3;0;0;0;0
Fredericia;5;6;6;3;2;1;2;2;4;6;5;8;7;12
Haderslev;1;3;7;1;4;3;4;5;3;6;8;8;10;12
Kolding;6;3;4;4;3;4;5;4;3;12;5;11;8;9
Sønderborg;8;2;2;6;4;11;2;4;7;7;9;8;13;10
Tønder;3;2;6;1;3;2;2;2;1;4;5;1;8;11
Varde;1;1;5;2;1;0;1;1;6;3;4;3;21;18
Vejen;2;2;2;2;3;3;4;2;2;3;2;11;6;8
Vejle;6;9;3;5;7;9;3;5;6;12;16;16;13;22
Aabenraa;8;3;5;1;7;6;5;2;4;6;11;3;12;2
Region Midtjylland;86;74;54;49;59;64;56;54;59;88;75;118;147;141
Favrskov;0;0;0;1;0;0;1;4;4;1;1;5;14;8
Hedensted;2;0;1;1;3;4;1;3;0;3;3;7;1;5
Horsens;7;5;4;4;3;3;4;4;1;3;6;11;12;9
Norddjurs;9;5;7;0;4;1;4;1;0;3;3;6;9;1
Odder;0;0;2;0;0;1;0;0;1;1;1;0;1;0
Randers;4;5;5;3;5;3;6;8;10;8;6;11;10;13
Samsø;0;1;0;1;0;0;0;0;0;1;1;0;1;0
Silkeborg;6;4;2;1;1;5;1;2;5;3;9;7;10;7
Skanderborg;3;2;4;1;4;1;0;1;4;0;3;3;5;4
Syddjurs;2;0;0;2;0;2;1;0;1;2;1;2;7;1
Aarhus;32;21;8;9;8;12;7;13;13;26;20;15;26;32
Herning;3;5;7;2;10;10;7;6;3;9;5;13;5;7
Holstebro;3;7;2;3;3;1;2;2;7;9;1;5;7;11
Ikast-Brande;5;5;1;1;5;1;3;2;2;2;3;7;5;7
Lemvig;1;1;1;1;0;1;1;1;0;1;0;0;1;0
Ringkøbing-Skjern;1;4;2;8;5;1;3;1;1;4;1;4;6;7
Skive;3;2;0;4;2;1;7;2;4;5;1;12;11;8
Struer;0;1;2;3;1;1;0;0;0;1;4;2;7;4
Viborg;5;6;6;4;5;16;8;4;3;6;6;8;9;17
Region Nordjylland;45;29;30;33;37;32;29;37;39;44;67;60;59;86
Brønderslev;3;2;2;2;1;5;1;3;7;12;4;3;1;1
Frederikshavn;5;4;4;3;2;1;2;1;2;3;13;7;4;0
Hjørring;5;2;4;3;0;3;4;4;5;4;10;4;7;14
Jammerbugt;1;1;2;2;2;1;4;2;2;4;3;6;1;13
Læsø;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Mariagerfjord;7;1;4;2;2;1;2;0;3;5;4;2;3;9
Morsø;0;3;2;0;2;1;2;1;1;0;3;0;1;1
Rebild;2;0;0;0;1;1;1;1;0;0;0;0;1;6
Thisted;2;3;1;2;4;1;1;3;2;1;1;6;6;10
Vesthimmerlands;5;1;0;3;1;1;3;5;4;3;6;4;2;6
Aalborg;15;12;11;11;22;17;9;17;13;12;23;28;33;26
Uoplyst kommune;11;9;4;6;0;8;5;5;8;4;7;19;3;15
