"kommune","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"København",0.00549026141217096,0.00481890195758625,0.00710317821692013,0.00446875446875447,0.00649627693101832,0.00620492809177778,0.00845335691256355,0.010124800616119,0.0107616649926299,0.00834130034455987,0.0115444223044565
"Frederiksberg",0,0.00101233018161203,0.00199570922516589,0.00490056748571485,0.00292064604690558,0.0029072021086906,0.00574267091624314,0.00571227281814979,0.00383105066564505,0.00865717583686033,0.0172570825943148
"Dragør",0,0,0.00730353491089687,0,0,0,0,0,0,0,0
"Tårnby",0.00247628952777159,0.00244887963756581,0,0.00481093043394592,0.00476281196418365,0.00469781316797031,0.00699953336444237,0.00232504068821204,0.00928871653159325,0.00697934115019542,0.0116308823187327
"Albertslund",0.0108186080057699,0.0107913669064748,0.00358886017800747,0,0,0.00359634611234985,0.0107604017216643,0.0071694866647548,0.00360451285008831,0.00717437313914697,0.0288485810104215
"Ballerup",0.002098547804919,0.00208637596494888,0.00833437513022461,0.0145195079961005,0.0041225213340479,0.00413607693103092,0.00622096881220969,0.0124401318653978,0.00414121544673362,0.0165091419373478,0.0246903419612362
"Brøndby",0.00887705281846427,0.00293936098292231,0.00293392794272973,0,0.00289184499710815,0.00285306704707561,0.00283109676688749,0.092712254874417,0.0140694467893522,0.0113003926886459,0.0142490738102023
"Gentofte",0.00281483983561335,0.00278885573249296,0.00274672453099679,0.00408942202835333,0.00134622115721171,0.00133454331927614,0.0026542800265428,0.00131917419695271,0.00263841800456446,0.00665105884856869,0.00668181210744354
"Gladsaxe",0.00156001372812081,0.00153962217671783,0.00459396964917385,0,0.00150024003840614,0.00445454140496236,0.00294490090408458,0.00145401672119229,0.00719590121466812,0.00861066861841822,0.00866275879991915
"Glostrup",0,0.00467639356528245,0.0046189376443418,0.0182907311719786,0.0045318589685489,0.00894574406226238,0.00890432304884021,0.00443892045454545,0,0.0309529073623701,0.0216188170183328
"Herlev",0.0112968820605513,0,0,0.00741894799317457,0.00360932649967516,0.0106579508313202,0.0140731098054393,0.0140815320706893,0.00349993000139997,0.0173695546446189,0.00690774703830346
"Hvidovre",0.00804440511624165,0.00399353048062139,0.00395256916996047,0.00194776104867455,0.00385787585355503,0.00190912562046583,0.015142624595408,0.0113284495128767,0.00375361285237041,0.00748839299086416,0.0186821604050292
"Høje-Taastrup",0.0104900973481034,0.00209410927062174,0.00207982363095609,0.0123785356192362,0.00204888643022517,0.00812512695510867,0.0120096076861489,0.00995104087887593,0.00592932247608507,0.00986465690723277,0.025611221655273
"Ishøj",0.00485295544986897,0.00480838582487859,0.0142267747901551,0.00473238370167053,0.0139230519329837,0,0.022363359871187,0.00440160218319468,0.00435009570210545,0.0174322321973329,0.017399625908043
"Lyngby-Taarbæk",0,0,0,0.00185735512630015,0.00368751958994782,0.0146044032275731,0.00181498085195201,0.0054308472121651,0.00360542255552351,0.0125470514429109,0.010673497705198
"Rødovre",0.00551982998923633,0.00273792574745373,0.00542255239541252,0,0,0.00529899584028827,0.00789432135150782,0.00259794242959576,0.00762524464326564,0.00998701687805852,0.00983961428711994
"Vallensbæk",0,0,0,0,0,0.0065772165219679,0.0064855048965562,0,0,0.0180136904047076,0.00601214453195455
"Allerød",0,0.00830013280212483,0.00415921474025704,0.00830806297511735,0.00413650465356774,0,0.00808668930939673,0.00400930157966482,0,0.00779848709350386,0
"Egedal",0,0.00480607487864661,0,0,0.00473821369343757,0.00234890658398515,0.00233792345638604,0.0046423100134627,0.00465116279069767,0,0.00922636896249481
"Fredensborg",0,0,0,0,0.00252620942276115,0,0.00997207818109294,0,0.0147134554550136,0.00734951860653127,0
