"""kommune"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"""
København,88.25,88.25,88.25,88.25,74.40,74.80,77.20,86.20,86.22,86.40,86.39,86.60,86.70,90.10,90.10
Frederiksberg,8.77,8.77,8.77,8.77,8.00,8.00,8.00,8.70,8.71,8.71,8.71,8.70,8.70,8.70,8.70
Dragør,18.14,18.14,18.14,18.14,18.30,18.30,18.30,18.30,18.26,18.26,18.26,18.30,18.30,18.30,18.30
Tårnby,64.95,64.95,64.95,64.95,66.30,66.10,66.10,66.10,66.10,66.10,66.10,66.10,66.10,66.10,66.10
Albertslund,23.04,23.04,23.04,23.04,23.20,23.20,23.20,23.20,23.19,23.19,23.19,23.20,23.40,23.40,23.40
Ballerup,34.09,34.09,34.09,34.09,34.00,34.00,34.00,34.00,33.95,33.95,33.95,34.00,33.90,33.90,33.90
Brøndby,20.65,20.65,20.65,20.65,21.00,21.00,21.00,21.00,21.03,21.03,21.03,21.00,21.00,21.00,21.00
Gentofte,25.54,25.54,25.54,25.54,25.60,25.60,25.60,25.60,25.62,25.62,25.62,25.60,25.60,25.60,25.60
Gladsaxe,25.00,25.00,25.00,25.00,24.90,24.90,24.90,24.90,24.93,24.93,24.93,24.90,24.90,24.90,24.90
Glostrup,13.31,13.31,13.31,13.31,13.30,13.30,13.30,13.30,13.29,13.29,13.29,13.30,13.30,13.30,13.30
Herlev,12.04,12.04,12.04,12.04,12.10,12.10,12.10,12.10,12.06,12.06,12.06,12.10,12.10,12.10,12.10
Hvidovre,21.91,21.91,21.91,21.91,22.90,22.90,22.90,22.90,22.93,22.93,22.93,22.90,22.90,22.90,22.90
Høje-Taastrup,78.41,78.41,78.41,78.41,78.30,78.30,78.30,78.30,78.34,78.34,78.34,78.30,78.20,78.20,78.20
Ishøj,25.94,25.94,25.94,25.94,26.50,26.50,26.50,26.50,26.46,26.46,26.46,26.50,26.50,26.50,26.50
Lyngby-Taarbæk,38.88,38.88,38.88,38.88,38.80,38.80,38.80,38.80,38.79,38.79,38.79,38.80,38.80,38.80,38.80
Rødovre,12.12,12.12,12.12,12.12,12.20,12.20,12.20,12.20,12.17,12.17,12.17,12.20,12.20,12.20,12.20
Vallensbæk,9.15,9.15,9.15,9.15,9.50,9.50,9.50,9.50,9.48,9.48,9.48,9.50,9.50,9.50,9.50
Allerød,67.44,67.44,67.44,67.44,67.50,67.40,67.40,67.40,67.45,67.45,67.45,67.40,67.40,67.40,67.40
Egedal,125.79,125.79,125.79,125.79,125.90,125.90,125.90,125.90,125.86,125.86,125.86,125.90,125.80,125.80,125.80
Fredensborg,112.08,112.08,112.08,112.08,112.10,112.10,112.10,112.10,112.08,112.08,112.08,112.10,112.10,112.10,112.10
Frederikssund,248.63,248.63,248.63,248.63,248.50,248.50,248.50,248.50,248.49,248.50,248.50,248.50,248.50,248.50,248.50
Furesø,56.68,56.68,56.68,56.68,56.80,56.80,56.80,56.80,56.81,56.81,56.81,56.80,56.80,56.80,56.80
Gribskov,280.00,280.00,280.00,280.00,279.50,279.50,279.50,279.50,279.47,279.47,279.47,279.50,279.50,279.50,279.50
Halsnæs,121.19,121.19,121.19,121.19,121.90,121.90,121.90,121.90,121.93,121.94,121.94,121.90,121.90,121.90,122.00
Helsingør,121.61,121.61,121.61,121.61,118.90,118.90,118.90,118.90,118.88,118.88,118.88,118.90,118.90,118.90,118.90
Hillerød,214.39,214.39,214.39,214.39,213.30,213.40,213.40,213.40,213.45,213.45,213.45,213.50,213.50,213.50,213.50
Hørsholm,31.38,31.38,31.38,31.38,31.30,31.30,31.30,31.30,31.29,31.29,31.29,31.30,31.30,31.30,31.30
Rudersdal,73.34,73.34,73.34,73.34,73.30,73.30,73.30,73.30,73.35,73.35,73.35,73.30,73.30,73.30,73.30
