Kommune,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
København,88.25,88.25,88.25,88.25,74.4,74.8,77.2,86.2,86.22,86.4,86.39,86.6,86.7,90.1,90.1
Frederiksberg,8.77,8.77,8.77,8.77,8.0,8.0,8.0,8.7,8.71,8.71,8.71,8.7,8.7,8.7,8.7
Dragør,18.14,18.14,18.14,18.14,18.3,18.3,18.3,18.3,18.26,18.26,18.26,18.3,18.3,18.3,18.3
Tårnby,64.95,64.95,64.95,64.95,66.3,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1
Albertslund,23.04,23.04,23.04,23.04,23.2,23.2,23.2,23.2,23.19,23.19,23.19,23.2,23.4,23.4,23.4
Ballerup,34.09,34.09,34.09,34.09,34.0,34.0,34.0,34.0,33.95,33.95,33.95,34.0,33.9,33.9,33.9
Brøndby,20.65,20.65,20.65,20.65,21.0,21.0,21.0,21.0,21.03,21.03,21.03,21.0,21.0,21.0,21.0
Gentofte,25.54,25.54,25.54,25.54,25.6,25.6,25.6,25.6,25.62,25.62,25.62,25.6,25.6,25.6,25.6
Gladsaxe,25.0,25.0,25.0,25.0,24.9,24.9,24.9,24.9,24.93,24.93,24.93,24.9,24.9,24.9,24.9
Glostrup,13.31,13.31,13.31,13.31,13.3,13.3,13.3,13.3,13.29,13.29,13.29,13.3,13.3,13.3,13.3
Herlev,12.04,12.04,12.04,12.04,12.1,12.1,12.1,12.1,12.06,12.06,12.06,12.1,12.1,12.1,12.1
Hvidovre,21.91,21.91,21.91,21.91,22.9,22.9,22.9,22.9,22.93,22.93,22.93,22.9,22.9,22.9,22.9
Høje-Taastrup,78.41,78.41,78.41,78.41,78.3,78.3,78.3,78.3,78.34,78.34,78.34,78.3,78.2,78.2,78.2
Ishøj,25.94,25.94,25.94,25.94,26.5,26.5,26.5,26.5,26.46,26.46,26.46,26.5,26.5,26.5,26.5
Lyngby-Taarbæk,38.88,38.88,38.88,38.88,38.8,38.8,38.8,38.8,38.79,38.79,38.79,38.8,38.8,38.8,38.8
Rødovre,12.12,12.12,12.12,12.12,12.2,12.2,12.2,12.2,12.17,12.17,12.17,12.2,12.2,12.2,12.2
Vallensbæk,9.15,9.15,9.15,9.15,9.5,9.5,9.5,9.5,9.48,9.48,9.48,9.5,9.5,9.5,9.5
Allerød,67.44,67.44,67.44,67.44,67.5,67.4,67.4,67.4,67.45,67.45,67.45,67.4,67.4,67.4,67.4
Egedal,125.79,125.79,125.79,125.79,125.9,125.9,125.9,125.9,125.86,125.86,125.86,125.9,125.8,125.8,125.8
Fredensborg,112.08,112.08,112.08,112.08,112.1,112.1,112.1,112.1,112.08,112.08,112.08,112.1,112.1,112.1,112.1
Frederikssund,248.63,248.63,248.63,248.63,248.5,248.5,248.5,248.5,248.49,248.5,248.5,248.5,248.5,248.5,248.5
Furesø,56.68,56.68,56.68,56.68,56.8,56.8,56.8,56.8,56.81,56.81,56.81,56.8,56.8,56.8,56.8
Gribskov,280.0,280.0,280.0,280.0,279.5,279.5,279.5,279.5,279.47,279.47,279.47,279.5,279.5,279.5,279.5
Halsnæs,121.19,121.19,121.19,121.19,121.9,121.9,121.9,121.9,121.93,121.94,121.94,121.9,121.9,121.9,122.0
Helsingør,121.61,121.61,121.61,121.61,118.9,118.9,118.9,118.9,118.88,118.88,118.88,118.9,118.9,118.9,118.9
Hillerød,214.39,214.39,214.39,214.39,213.3,213.4,213.4,213.4,213.45,213.45,213.45,213.5,213.5,213.5,213.5
Hørsholm,31.38,31.38,31.38,31.38,31.3,31.3,31.3,31.3,31.29,31.29,31.29,31.3,31.3,31.3,31.3
Rudersdal,73.34,73.34,73.34,73.34,73.3,73.3,73.3,73.3,73.35,73.35,73.35,73.3,73.3,73.3,73.3
Bornholm,588.15,588.15,588.15,588.15,588.3,588.3,588.3,588.3,588.36,588.36,588.36,588.4,588.4,588.4,588.5
Christiansø,0.4,0.4,0.4,0.4,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greve,60.18,60.18,60.18,60.18,60.4,60.4,60.4,60.4,60.36,60.36,60.36,60.4,60.4,60.4,60.4
Køge,255.47,255.47,255.47,255.47,256.5,256.5,256.5,256.5,256.52,257.02,257.02,257.2,257.3,257.5,257.5
Lejre,240.07,240.07,240.07,240.07,238.9,238.9,238.9,238.9,238.92,238.92,238.92,238.9,238.9,238.9,238.9
Roskilde,211.88,211.88,211.88,211.88,211.8,211.8,211.8,211.8,211.82,211.82,211.82,211.8,211.8,211.8,211.8
Solrød,39.99,39.99,39.99,39.99,40.1,40.1,40.1,40.1,40.08,40.07,40.08,40.1,40.1,40.1,40.1
Faxe,404.54,404.54,404.54,404.54,404.9,404.9,404.9,404.9,404.92,404.92,404.92,404.9,404.9,404.9,404.9
Guldborgsund,903.42,903.42,903.42,903.42,899.3,899.3,900.6,900.6,900.64,900.64,900.64,900.6,900.6,900.6,900.7
Holbæk,578.74,578.74,578.74,578.74,577.2,577.2,577.2,577.2,577.23,577.24,577.24,577.2,577.2,577.2,577.3
Kalundborg,603.73,603.73,603.73,603.73,575.0,575.0,575.1,575.1,575.17,575.17,575.25,575.3,575.3,575.4,575.4
Lolland,891.92,891.92,891.92,891.92,882.2,882.2,886.0,886.1,886.08,886.11,886.12,886.1,886.1,886.2,886.6
Næstved,683.88,683.88,683.88,683.88,676.4,676.4,676.4,676.4,676.8,676.8,676.8,676.8,676.8,676.8,676.8
Odsherred,355.3,355.3,355.3,355.3,354.1,354.1,354.1,354.1,354.11,354.11,354.11,354.1,354.1,354.1,354.2
