"","Kommune","people_pr_sqm2010","people_pr_sqm2011","people_pr_sqm2012","people_pr_sqm2013","people_pr_sqm2014","people_pr_sqm2015","people_pr_sqm2016","people_pr_sqm2017","people_pr_sqm2018","people_pr_sqm2019","people_pr_sqm2020"
"1","Aabenraa",63.7385759829968,63.6117021276596,63.4042553191489,62.9872340425532,62.7340425531915,62.663829787234,62.6265957446808,62.7691489361702,62.8606382978723,62.8031914893617,62.5117021276596
"2","Aalborg",172.726159230096,175.187335092348,176.905892700088,178.934036939314,181.01055408971,182.766051011434,184.974494283201,186.400175901495,187.825857519789,189.368513632366,190.919085312225
"3","Aarhus",655.235042735043,665.858672376874,673.543897216274,683.284796573876,693.561027837259,698.599571734475,708.006423982869,718.809421841542,728.952890792291,739.468950749465,747.826923076923
"4","Ærø",74.2111111111111,74.0333333333333,73.7333333333333,72.5222222222222,71.0333333333333,69.7333333333333,69.8888888888889,68.6333333333333,68.6444444444444,67.3111111111111,66.2666666666667
"5","Albertslund",1205.65217391304,1208.69565217391,1211.47826086957,1209.73913043478,1205.5652173913,1208.95652173913,1212.17391304348,1212.86956521739,1206.21739130435,1212.04347826087,1205.69565217391
"6","Allerød",359.537313432836,359.641791044776,358.850746268657,359.298507462687,360.820895522388,364.34328358209,369.134328358209,372.268656716418,376.641791044776,382.776119402985,382.582089552239
"7","Assens",82.13671875,81.4774951076321,81.1017612524462,80.8708414872798,80.307240704501,80.3248532289628,80.6731898238748,80.9980430528376,80.8767123287671,80.6497064579256,80.1663405088063
"8","Ballerup",1401.52941176471,1409.70588235294,1411.58823529412,1417.97058823529,1426.88235294118,1465.30303030303,1461.33333333333,1461.54545454545,1420.44117647059,1468.42424242424,1472.78787878788
"9","Billund",48.8059701492537,48.4351851851852,48.5555555555556,48.8092592592593,48.737037037037,48.6759259259259,48.9518518518518,49.0388888888889,49.0407407407407,49.312962962963,49.2740740740741
"10","Bornholm",71.6904761904762,71.0918367346939,70.2431972789116,69.2431972789116,68.3928571428571,67.734693877551,67.6122448979592,67.5085034013605,67.4013605442177,67.2993197278912,67.1751700680272
"11","Brøndby",1689.75,1620.04761904762,1623.04761904762,1629.04761904762,1646.66666666667,1669.04761904762,1682,1694.95238095238,1692.28571428571,1685.57142857143,1670.95238095238
"12","Brønderslev",56.5624012638231,56.5387045813586,56.4834123222749,56.2401263823065,56.2827804107425,56.5260663507109,56.9462875197472,57.0742496050553,57.3285939968404,57.4565560821485,57.3522906793049
"13","Christiansø",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"14","Dragør",753.555555555556,762.055555555556,760.666666666667,773.166666666667,776.5,779.333333333333,785.666666666667,793.777777777778,792.888888888889,792.777777777778,805.222222222222
"15","Egedal",332.104,332.912,334.568,336.144,337.68,340.584,342.184,344.656,344,346.68,346.832
"16","Esbjerg",153.077127659574,145.068010075567,144.977329974811,144.900503778338,144.955919395466,145.39798488665,145.778337531486,145.792452830189,145.952201257862,145.474213836478,145.261635220126
"17","Faaborg-Midtfyn",81.7660910518053,82.0315955766193,81.5718799368088,81.2148499210111,80.6919431279621,80.4944707740916,80.9415481832543,81.1627172195893,81.4154818325434,81.8467614533965,81.4470774091627
"18","Fanø",58.5272727272727,59.5,60.2037037037037,59.9444444444444,60.4444444444444,60.4259259259259,60.9259259259259,58.6842105263158,59.6666666666667,59.719298245614,61.1929824561403
"19","Favrskov",86.1648148148148,86.8407407407407,87.2537037037037,87.3259259259259,87.3388888888889,88.0055555555556,88.25,88.7314814814815,89.3907407407407,89.5814814814815,89.6240740740741
"20","Faxe",87.3910891089109,87.3193069306931,86.9059405940594,86.9381188118812,86.9282178217822,87.1163366336634,88.1534653465347,88.9009900990099,89.4529702970297,90.3787128712871,90.5346534653465
